"Timestamp","Tree","Station","VPD","Vapor.Pressure","Atmos.Pressure","Air.TempC","Wetness.Level.1","Wetness.Level.2","Solar"
"2024-04-26T22:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-26T22:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-26T23:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-26T23:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-26T23:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-26T23:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T00:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T00:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T00:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T00:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T01:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T01:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T01:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T01:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T02:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T02:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T02:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T02:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T03:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T03:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T03:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T03:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T04:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T04:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T04:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T04:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T05:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T05:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T05:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T05:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T06:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T06:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T06:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T06:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T07:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T07:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T07:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T07:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T08:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T08:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T08:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T08:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T09:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T09:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T09:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T09:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T10:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T10:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T10:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T10:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T11:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T11:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T11:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T11:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T12:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T12:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T12:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T12:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T13:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T13:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T13:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T13:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T14:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T14:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T14:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T14:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T15:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T15:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T15:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T15:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T16:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T16:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T16:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T16:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T17:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T17:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T17:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T17:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T18:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T18:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T18:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T18:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T19:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T19:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T19:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T19:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T20:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T20:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T20:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T20:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T21:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T21:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T21:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T21:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T22:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T22:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T22:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T22:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T23:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T23:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T23:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-27T23:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T00:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T00:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T00:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T00:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T01:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T01:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T01:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T01:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T02:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T02:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T02:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T02:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T03:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T03:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T03:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T03:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T04:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T04:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T04:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T04:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T05:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T05:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T05:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T05:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T06:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T06:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T06:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T06:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T07:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T07:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T07:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T07:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T08:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T08:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T08:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T08:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T09:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T09:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T09:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T09:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T10:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T10:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T10:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T10:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T11:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T11:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T11:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T11:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T12:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T12:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T12:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T12:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T13:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T13:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T13:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T13:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T14:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T14:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T14:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T14:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T15:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T15:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T15:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T15:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T16:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T16:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T16:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T16:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T17:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T17:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T17:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T17:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T18:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T18:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T18:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T18:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T19:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T19:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T19:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T19:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T20:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T20:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T20:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T20:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T21:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T21:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T21:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T21:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T22:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T22:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T22:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T22:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T23:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T23:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T23:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-28T23:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T00:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T00:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T00:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T00:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T01:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T01:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T01:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T01:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T02:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T02:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T02:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T02:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T03:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T03:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T03:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T03:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T04:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T04:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T04:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T04:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T05:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T05:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T05:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T05:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T06:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T06:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T06:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T06:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T07:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T07:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T07:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T07:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T08:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T08:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T08:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T08:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T09:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T09:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T09:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T09:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T10:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T10:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T10:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T10:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T11:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T11:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T11:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T11:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T12:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T12:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T12:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T12:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T13:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T13:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T13:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T13:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T14:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T14:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T14:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T14:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T15:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T15:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T15:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T15:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T16:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T16:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T16:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T16:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T17:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T17:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T17:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T17:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T18:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T18:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T18:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T18:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T19:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T19:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T19:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T19:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T20:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T20:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T20:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T20:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T21:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T21:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T21:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T21:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T22:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T22:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T22:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T22:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T23:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T23:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T23:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-29T23:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T00:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T00:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T00:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T00:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T01:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T01:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T01:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T01:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T02:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T02:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T02:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T02:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T03:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T03:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T03:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T03:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T04:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T04:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T04:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T04:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T05:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T05:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T05:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T05:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T06:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T06:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T06:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T06:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T07:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T07:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T07:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T07:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T08:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T08:15:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T08:30:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T08:45:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
"2024-04-30T09:00:00Z","NL","GR",NA,NA,NA,NA,NA,NA,0
